"id";"nome"
"1";"Sun Tzu"
"2";"Robert Silverberg"
"3";"Best American Series Editor"
"4";"Stephen Greenblatt"
"5";"Joyce Carol Oates"
"6";"Xiaomei Chen"
"7";"Christopher Dolley"
"8";"Tobias Wolff"
"9";"Melvyn P. Leffler"
"10";"Sukrita Paul Kumar"
"11";"Ralph Waldo Emerson"
"12";"Susan Belasco"
"13";"Rita Dove"
"14";"William Shakespeare"
"15";"Raza Mir"
"16";"Frank Moulaert"
"17";"Bob Hale"
"18";"Mark Richardson"
"19";"Martin Puchner"
"20";"Michael Cox"
"21";"Leah A. Lievrouw"
"22";"Dinah Birch"
"23";"Ellen Rooney"
"24";"Patricia Genoe McLaren"
"25";"Gordon L. Clark"
"26";"Núria Homedes"
"27";"Alisa Gaunder"
"28";"David Armitage"
"29";"David O. Sears"
"30";"John F. A. Sawyer"
"31";"Alfred Bendixen"
"32";"Roger Mac Ginty"
"33";"Murray Longmore"
"34";"Leslie Bethell"
"35";"Laura Marcus"
"36";"Jack Sidnell"
"37";"Chris Scarre"
"38";"M. H. Abrams"
"39";"James D. Hart"
"40";"Robert Von Hallberg"
"41";"Jean-Michel Rabaté"
"42";"Helga Nowotny"
"43";"Warren Breckman"
"44";"James Duncan"
"45";"David Schalkwyk"
"46";"Peter Lamarque"
